anime_id,title,score,genre
19841,Super Seisyun Brothers,6.93,"Comedy, Josei, Slice of Life"
24641,Baku Ane: Otouto Shibocchau zo! The Animation,7.5,Hentai
24021,Sei Shoujo The Animation,6.85,Hentai
4480,Ryoujoku Guerrilla Kari 3,6.12,Hentai
37223,Ore ga Kanojo wo *su Wake,7.5,Hentai
5199,Seto no Hanayome Fan Disc,7.18,"Comedy, Parody, School"
22225,Momo Kyun Sword,5.66,"Comedy, Ecchi, Fantasy"
9442,Bust to Bust: Chichi wa Chichi ni,6.77,Hentai
33274,Onara Gorou,5.62,Comedy
32484,A-Size Classmate,5.97,Hentai
35138,Taikong Lixianji,5.67,"Action, Sci-Fi, Kids, Mecha"
146,Kono Minikuku mo Utsukushii Sekai,6.87,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
21267,Go! Go! 575,5.72,Slice of Life
36289,Daybreak Interlude,7.12,Music
221,Mezzo Forte,6.72,"Action, Comedy, Hentai, Sci-Fi"
1483,Master Keaton,7.7,"Adventure, Mystery"
32518,Shoujo kara Shoujo e...,7.04,Hentai
1640,Angel&#039;s Feather,5.58,"Sci-Fi, Supernatural, Drama, Romance, Fantasy, Shounen Ai"
35314,"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",6.9,"Action, School, Shounen"
34476,Platonic Chain: Ansatsu Jikkouchuu,3.6,"Sci-Fi, Slice of Life"
7082,Shugo Chara! Party!,6.71,"Comedy, Magic, School, Shoujo"
35952,Devilman Memorial,5.97,"Action, Horror, Demons, Supernatural"
10521,Working&#039;!!,7.96,"Slice of Life, Comedy, Romance"
3335,Haikara-san ga Tooru,7.37,"Slice of Life, Romance, Historical, Drama, Shoujo"
5993,Samayou Midara na Lunatics,6.45,Hentai
2710,Nintama Rantarou Movie,6.64,"Comedy, Shounen"
594,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,6.84,"Action, Adventure, Comedy, Shounen, Super Power"
23229,Meshimase Lodoss-tou Senki: Sorette Oishii no?,5.71,Comedy
2520,Dragon Ball Specials,6.91,"Fantasy, Comedy, Super Power, Shounen"
20087,Treasure Gaust,4.58,Game
34779,Ar:pieL - 6-seosgaeui Unmyeong,0,"Action, Fantasy"
4130,Petit Eva: Evangelion@School,5.91,"Comedy, Parody, School"
1479,City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,7.55,Shounen
27727,Binan Koukou Chikyuu Boueibu LOVE!,7.05,"Slice of Life, Comedy, Parody, Magic, School"
2617,Ghiblies,6.57,Comedy
33094,WWW.Working!!,7.55,"Slice of Life, Comedy"
31309,Balloon,5.04,Dementia
33808,Girlfriend (Note),6.22,"Music, School"
23765,Yamiyo no Jidaigeki,4.24,"Historical, Horror"
8373,Shin Mitsubachi Maya no Bouken,6.39,"Adventure, Comedy"
209,R.O.D the TV,7.61,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power"
33358,Mahou no Star Magical Emi: Finale! Finale!,6.06,"Comedy, Magic, Shoujo"
30065,Osamishi Tani no Wakare Uta,5.29,"Music, Historical"
19669,Kuroko no Basket: Baka ja Katenai no yo!,7.7,"Sports, Comedy, School, Shounen"
30721,Hacka Doll The Animation,6.51,"Comedy, Sci-Fi"
28369,Dr. Slump: Arale-chan Specials,6.36,"Sci-Fi, Comedy, Shounen"
9509,Yami no Purple Eye,5,"Psychological, Supernatural, Music, Horror, Mystery, Shoujo"
13047,Anime Koukyoushi: Jungle Taitei,6.73,"Adventure, Kids, Shounen"
2689,Akai Koudan Zillion: Utahime Yakyoku,6.01,"Sci-Fi, Adventure"
27849,Nezumi-kun no Chokki,5.57,Kids
