anime_id,title,type,episodes,score,rank,popularity,favorites,genre,duration_min
33868,Kabi Usagi: Kaichuu,ONA,1,3.83,10665,13349,0,Comedy,0.55
1281,Gakkou no Kaidan,TV,19,7.73,1035,1267,638,"Mystery, Horror, Supernatural",24
175,Tokyo Underground,TV,26,6.7,4776,2612,36,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",25
11859,Queen&#039;s Blade: Rebellion,TV,12,6.46,5774,2253,43,"Action, Adventure, Ecchi, Fantasy",24
257,Ikkitousen,TV,13,6.57,5332,832,391,"Ecchi, Super Power, Martial Arts, School",24
3911,Shuukaku no Yoru,OVA,2,6.11,,6937,8,Hentai,30
5877,Abunai Sisters: Koko & Mika,OVA,10,2.61,9510,6321,19,"Action, Comedy, Ecchi",3
37671,Neeko ga Vtuber Shite Mita,ONA,4,5.03,11420,11064,0,Slice of Life,3
28723,Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,Special,1,6.77,4437,8327,1,"Music, School, Shoujo",47
2100,Silent M??bius 2,Movie,1,6.36,6168,6880,1,"Sci-Fi, Adventure, Demons, Fantasy, Seinen",59
4082,Kaibutsu Oujo: Konsui Oujo,Special,1,7.08,3267,3950,9,"Action, Comedy, Horror, Supernatural, Vampire, Shounen",23
25083,Nanatsu no Umi no Tico Specials,Special,2,6.55,11387,11045,0,"Adventure, Slice of Life",45
19575,Kobayashi ga Kawai sugite Tsurai!!,OVA,2,6.36,6158,4476,3,"Romance, School, Shoujo",16
16774,Inferno Cop,ONA,13,7.34,2278,1379,721,"Action, Police",3
934,Higurashi no Naku Koro ni,TV,26,8.1,437,97,15819,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",24
3806,Sasuga no Sarutobi,TV,69,6.66,4941,8966,1,"Action, Adventure, Comedy, Martial Arts, Romance, Sports",25
5662,Suteneko Tora-chan,Movie,1,5.79,7830,8650,0,Music,20
12963,Jewelpet Kira???Deco!,TV,52,6.84,4147,6872,15,"Fantasy, Magic, Shoujo",24
29575,Mankitsu Happening,OVA,4,7.88,,2837,336,Hentai,30
22777,Dragon Ball Kai (2014),TV,61,7.92,655,1164,443,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",23
1120,Pokemon: Mizu no Miyako no Mamorigami Latias to Latios,Movie,1,7.29,2473,1427,76,"Adventure, Comedy, Drama, Fantasy, Kids",74
1634,Ai Shimai: Futari no Kajitsu,OVA,3,6.59,,4135,30,Hentai,30
30390,Sengoku Musou: Sengoku Musou High School,Special,8,6.37,6136,8192,0,"Comedy, Samurai, School",0.5
11771,Kuroko no Basket,TV,25,8.37,183,85,15372,"Comedy, School, Shounen, Sports",24
34733,One Room Special,Special,1,5.38,8564,4358,5,Slice of Life,4
34766,Elsword: Ain-ui Gieog Animation,ONA,1,6.47,5716,7027,1,"Action, Fantasy",4
28859,Shabura Rental: Ecchi na Oneesan to no Eroero Rental Obenkyou The Animation,OVA,1,6.9,,5832,24,Hentai,27
30100,Black Bullet: Tenchuu???Girls,Special,1,6.18,6820,3593,1,Fantasy,1
27787,Nisekoi:,TV,12,7.5,1639,235,1083,"Comedy, Harem, Romance, School, Shounen",24
3229,Kimi ga Aruji de Shitsuji ga Ore de,TV,13,7.29,2460,1039,206,"Comedy, Ecchi, Harem, Parody, Romance",25
8841,Kore wa Zombie Desu ka?,TV,12,7.59,1384,129,2923,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",24
34022,Whistle! (ONA),ONA,0,6,12665,9132,1,"Sports, School, Shounen",0
18939,Shimajirou Hesoka,TV,101,6.14,12049,12177,0,"Adventure, Comedy, Fantasy, Kids, Magic",25
390,Suzuka,TV,26,7.32,2362,1037,629,"Sports, Drama, Romance, Shounen",23
5321,Futari no Aniyome,OVA,2,6.42,,6497,4,Hentai,30
4504,Kinkyuu Hasshin Saver Kids,TV,50,6.47,5720,10246,1,"Action, Sci-Fi, Adventure, Comedy, Mecha",25
35514,Sigh,Music,1,3.33,12153,13649,0,Music,5
14675,Rinne no Lagrange: Kamogawa Memoria,Special,1,6.47,5733,6711,0,"Action, Comedy, Mecha, Sci-Fi",24
5085,Nakedyouth,ONA,1,6.05,7242,4871,12,"Slice of Life, Sports, Romance, Shounen Ai",9
34929,Kotowa Jiten: Hetana Teppou mo Kazu Ucha Ataru!,Special,1,4.64,10982,13477,0,Action,1
